y,x,slope,intercept,r_value,p_value,std_err
popularity,acousticness,-19.5500748089568,48.33288682047731,-0.38129531043089093,0.0,0.0982544613090096
popularity,danceability,25.14379058244207,27.188678296517672,0.2565644748381526,0.0,0.19634896644356606
popularity,duration_ms,3.591040494266278e-07,41.04306903286033,0.002348020327216928,0.25733287608187794,3.1702798442031153e-07
popularity,energy,17.186480493695647,31.314749499176052,0.2489217663861811,0.0,0.1386164037644014
popularity,instrumentalness,-12.67560324101416,43.00731001478562,-0.21098310728235561,0.0,0.12173444849875666
popularity,liveness,-15.412235135619751,44.441276066384894,-0.1679951900290048,0.0,0.1874703417665877
popularity,loudness,1.1008539656774028,51.6625487120322,0.36301073594308536,0.0,0.005857418886408775
popularity,speechiness,-14.812884361546054,42.916380611755756,-0.1510758181683716,0.0,0.20091457441948485
popularity,tempo,0.04770697921379037,35.51398509741354,0.08103890832432394,0.0,0.0012162921598276512
popularity,valence,4.201959519621079,39.215960203537996,0.060076293930320025,5.2462470554205144e-185,0.14472512733403745
